continent,region
North America,Caribbean
Asia,Southern and Central Asia
Africa,Central Africa
North America,Caribbean
Europe,Southern Europe
Europe,Southern Europe
North America,Caribbean
Asia,Middle East
South America,South America
Asia,Middle East
Oceania,Polynesia
Antarctica,Antarctica
Antarctica,Antarctica
North America,Caribbean
Oceania,Australia and New Zealand
Europe,Western Europe
Asia,Middle East
Africa,Eastern Africa
Europe,Western Europe
Africa,Western Africa
Africa,Western Africa
Asia,Southern and Central Asia
Europe,Eastern Europe
Asia,Middle East
North America,Caribbean
Europe,Southern Europe
Europe,Eastern Europe
North America,Central America
North America,North America
South America,South America
South America,South America
North America,Caribbean
Asia,Southeast Asia
Asia,Southern and Central Asia
Antarctica,Antarctica
Africa,Southern Africa
Africa,Central Africa
North America,North America
Oceania,Australia and New Zealand
Europe,Western Europe
South America,South America
Asia,Eastern Asia
Africa,Western Africa
Africa,Central Africa
Africa,Central Africa
Africa,Central Africa
Oceania,Polynesia
South America,South America
Africa,Eastern Africa
Africa,Western Africa
North America,Central America
North America,Caribbean
Oceania,Australia and New Zealand
North America,Caribbean
Asia,Middle East
Europe,Eastern Europe
Europe,Western Europe
Africa,Eastern Africa
North America,Caribbean
Europe,Nordic Countries
North America,Caribbean
Africa,Northern Africa
South America,South America
Africa,Northern Africa
Africa,Eastern Africa
Africa,Northern Africa
Europe,Southern Europe
Europe,Baltic Countries
Africa,Eastern Africa
Europe,Nordic Countries
Oceania,Melanesia
South America,South America
Europe,Western Europe
Europe,Nordic Countries
Oceania,Micronesia
Africa,Central Africa
Europe,British Islands
Asia,Middle East
Africa,Western Africa
Europe,Southern Europe
Africa,Western Africa
North America,Caribbean
Africa,Western Africa
Africa,Western Africa
Africa,Central Africa
Europe,Southern Europe
North America,Caribbean
North America,North America
North America,Central America
South America,South America
Oceania,Micronesia
South America,South America
Asia,Eastern Asia
Antarctica,Antarctica
North America,Central America
Europe,Southern Europe
North America,Caribbean
Europe,Eastern Europe
Asia,Southeast Asia
