,continent,life_expectancy
0,Asia,45.9
2,Asia,66.4
3,Asia,62.9
4,Asia,60.2
7,Asia,52.4
10,Asia,64.5
12,Asia,68.0
13,Asia,62.5
14,Asia,69.7
15,Asia,66.5
19,Asia,63.2
20,Asia,63.4
21,Asia,56.5
24,Asia,53.1
28,Asia,62.2
29,Asia,54.9
30,Asia,67.3
32,Asia,57.8
34,Asia,61.1
35,Asia,67.5
39,Asia,67.8
41,Asia,68.5
42,Asia,68.6
43,Asia,64.1
44,Asia,60.9
45,Asia,46.0
48,Asia,63.7
49,Asia,69.3
50,Asia,59.8
51,Africa,38.3
52,Africa,46.2
53,Africa,50.2
54,Africa,46.7
55,Africa,39.3
56,Africa,44.0
57,Africa,45.2
58,Africa,54.8
59,Africa,48.8
60,Africa,47.4
61,Africa,60.0
62,Africa,68.9
63,Africa,50.8
64,Africa,69.7
65,Africa,63.3
66,Africa,55.8
67,Africa,49.8
68,Africa,45.2
69,Africa,50.1
70,Africa,57.4
71,Africa,45.6
72,Africa,53.2
73,Africa,49.0
74,Africa,53.6
75,Africa,
76,Africa,48.0
77,Africa,51.0
79,Africa,50.8
80,Africa,69.1
81,Africa,55.0
82,Africa,46.7
83,Africa,37.5
84,Africa,50.8
86,Africa,37.6
87,Africa,59.5
88,Africa,42.5
89,Africa,41.3
90,Africa,51.6
92,Africa,39.3
93,Africa,56.6
94,Africa,62.2
96,Africa,45.3
97,Africa,46.2
98,Africa,65.3
99,Africa,40.4
101,Africa,50.5
102,Africa,54.7
104,Africa,52.3
105,Africa,42.9
106,Africa,51.1
107,Africa,37.2
108,Africa,37.8
