,continent,life_expectancy
0,Asia,45.9
1,Asia,74.1
2,Asia,66.4
3,Asia,62.9
4,Asia,60.2
5,Asia,73.0
6,Asia,73.6
7,Asia,52.4
8,Asia,71.4
9,Asia,76.7
10,Asia,64.5
11,Asia,79.5
12,Asia,68.0
13,Asia,62.5
14,Asia,69.7
15,Asia,66.5
16,Asia,78.6
17,Asia,77.4
18,Asia,80.7
19,Asia,63.2
20,Asia,63.4
21,Asia,56.5
22,Asia,74.4
23,Asia,76.1
24,Asia,53.1
25,Asia,71.3
26,Asia,71.8
27,Asia,81.6
28,Asia,62.2
29,Asia,54.9
30,Asia,67.3
31,Asia,70.8
32,Asia,57.8
33,Asia,71.8
34,Asia,61.1
35,Asia,67.5
36,Asia,70.7
37,Asia,71.4
38,Asia,72.4
39,Asia,67.8
40,Asia,80.1
41,Asia,68.5
42,Asia,68.6
43,Asia,64.1
44,Asia,60.9
45,Asia,46.0
46,Asia,71.0
47,Asia,76.4
48,Asia,63.7
49,Asia,69.3
50,Asia,59.8
